Filename             = m851_079.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 807
Profile              = 79
WaterDepth           = 3366
Date                 = 2011/07/21
Time                 = 14:43
Latitude             = 54 50.25 N
Longitude            = 043 27.46 W
Columns              = p:t:pt:s:sth:o
 294.0  3.7001  3.6799 34.7970 27.6576  6.923
 295.0  3.7063  3.6861 34.7976 27.6574  6.923
 296.0  3.7147  3.6944 34.7988 27.6575  6.918
 297.0  3.7356  3.7152 34.8021 27.6580  6.904
 298.0  3.7554  3.7349 34.8047 27.6581  6.895
 299.0  3.7669  3.7462 34.8058 27.6578  6.889
 300.0  3.7762  3.7555 34.8068 27.6577  6.875
 301.0  3.7809  3.7601 34.8072 27.6575  6.850
 302.0  3.7646  3.7437 34.8044 27.6570  6.831
 303.0  3.7138  3.6930 34.8007 27.6591  6.826
 304.0  3.7146  3.6937 34.8069 27.6640  6.814
 305.0  3.7615  3.7405 34.8119 27.6633  6.802
 306.0  3.7811  3.7600 34.8123 27.6616  6.828
 307.0  3.7991  3.7778 34.8153 27.6622  6.875
 308.0  3.8274  3.8060 34.8184 27.6618  6.878
 309.0  3.8532  3.8316 34.8224 27.6624  6.837
 310.0  3.8728  3.8511 34.8259 27.6631  6.808
 311.0  3.8826  3.8608 34.8277 27.6636  6.787
 312.0  3.8807  3.8589 34.8275 27.6636  6.767
 313.0  3.8699  3.8480 34.8260 27.6636  6.747
 314.0  3.8573  3.8353 34.8249 27.6640  6.734
 315.0  3.8396  3.8176 34.8225 27.6639  6.735
 316.0  3.8229  3.8009 34.8205 27.6639  6.745
 317.0  3.8179  3.7959 34.8206 27.6646  6.760
 318.0  3.8266  3.8044 34.8223 27.6651  6.779
 319.0  3.8386  3.8163 34.8240 27.6652  6.797
 320.0  3.8432  3.8208 34.8246 27.6652  6.806
 321.0  3.8512  3.8287 34.8264 27.6658  6.798
 322.0  3.8488  3.8263 34.8250 27.6649  6.785
 323.0  3.8197  3.7973 34.8220 27.6656  6.783
 324.0  3.8008  3.7783 34.8215 27.6670  6.776
 325.0  3.8025  3.7799 34.8215 27.6669  6.786
 326.0  3.8252  3.8024 34.8259 27.6681  6.819
 327.0  3.8519  3.8290 34.8295 27.6683  6.839
 328.0  3.8603  3.8373 34.8298 27.6676  6.843
 329.0  3.8629  3.8399 34.8303 27.6678  6.828
 330.0  3.8822  3.8591 34.8356 27.6700  6.801
 331.0  3.9397  3.9164 34.8441 27.6708  6.784
 332.0  3.9815  3.9580 34.8477 27.6695  6.787
 333.0  3.9876  3.9639 34.8489 27.6698  6.771
 334.0  4.0166  3.9928 34.8548 27.6714  6.702
 335.0  4.0576  4.0336 34.8608 27.6719  6.636
 336.0  4.0823  4.0582 34.8632 27.6713  6.607
 337.0  4.0981  4.0739 34.8657 27.6716  6.571
 338.0  4.1053  4.0809 34.8666 27.6716  6.528
 339.0  4.1084  4.0840 34.8672 27.6717  6.508
 340.0  4.1171  4.0925 34.8691 27.6723  6.497
 341.0  4.1215  4.0969 34.8699 27.6725  6.490
 342.0  4.1245  4.0998 34.8707 27.6729  6.483
 343.0  4.1333  4.1084 34.8721 27.6731  6.473
 344.0  4.1396  4.1147 34.8724 27.6727  6.468
 345.0  4.1462  4.1212 34.8737 27.6730  6.471
 346.0  4.1559  4.1308 34.8759 27.6737  6.466
 347.0  4.1559  4.1307 34.8763 27.6740  6.460
 348.0  4.1475  4.1223 34.8761 27.6748  6.457
 349.0  4.1524  4.1270 34.8786 27.6763  6.447
 350.0  4.1848  4.1593 34.8842 27.6772  6.437
 351.0  4.2191  4.1934 34.8885 27.6771  6.445
 352.0  4.2265  4.2007 34.8895 27.6771  6.452
 353.0  4.2222  4.1964 34.8894 27.6774  6.421
 354.0  4.2205  4.1946 34.8893 27.6776  6.387
 355.0  4.2221  4.1961 34.8898 27.6778  6.378
 356.0  4.2317  4.2056 34.8920 27.6785  6.379
 357.0  4.2468  4.2206 34.8945 27.6789  6.383
 358.0  4.2539  4.2276 34.8955 27.6789  6.386
 359.0  4.2524  4.2260 34.8957 27.6793  6.376
 360.0  4.2516  4.2252 34.8962 27.6797  6.360
 361.0  4.2519  4.2254 34.8965 27.6800  6.360
 362.0  4.2517  4.2251 34.8966 27.6801  6.365
 363.0  4.2496  4.2230 34.8965 27.6802  6.365
 364.0  4.2456  4.2189 34.8964 27.6806  6.366
 365.0  4.2410  4.2142 34.8965 27.6812  6.367
 366.0  4.2355  4.2086 34.8966 27.6818  6.370
 367.0  4.2305  4.2036 34.8967 27.6825  6.376
 368.0  4.2277  4.2007 34.8968 27.6829  6.378
 369.0  4.2257  4.1987 34.8968 27.6831  6.378
 370.0  4.2231  4.1960 34.8968 27.6834  6.382
 371.0  4.2205  4.1933 34.8969 27.6837  6.387
 372.0  4.2164  4.1892 34.8968 27.6841  6.390
 373.0  4.2123  4.1850 34.8966 27.6844  6.393
 374.0  4.2110  4.1836 34.8966 27.6845  6.396
 375.0  4.2087  4.1812 34.8962 27.6845  6.402
 376.0  4.2031  4.1756 34.8956 27.6846  6.408
 377.0  4.1979  4.1703 34.8954 27.6850  6.406
 378.0  4.1949  4.1672 34.8953 27.6852  6.406
 379.0  4.1924  4.1646 34.8951 27.6853  6.413
 380.0  4.1905  4.1628 34.8949 27.6854  6.420
 381.0  4.1896  4.1617 34.8949 27.6855  6.424
 382.0  4.1881  4.1602 34.8948 27.6856  6.427
 383.0  4.1859  4.1579 34.8947 27.6857  6.427
 384.0  4.1831  4.1550 34.8945 27.6859  6.424
 385.0  4.1786  4.1504 34.8942 27.6862  6.426
 386.0  4.1733  4.1452 34.8939 27.6865  6.429
 387.0  4.1700  4.1418 34.8938 27.6868  6.433
 388.0  4.1692  4.1409 34.8939 27.6870  6.437
 389.0  4.1683  4.1399 34.8939 27.6870  6.440
 390.0  4.1654  4.1369 34.8939 27.6874  6.442
 391.0  4.1623  4.1337 34.8941 27.6879  6.441
 392.0  4.1591  4.1305 34.8942 27.6883  6.443
 393.0  4.1560  4.1274 34.8942 27.6886  6.444
 394.0  4.1545  4.1257 34.8942 27.6888  6.446
 395.0  4.1536  4.1248 34.8941 27.6888  6.451
 396.0  4.1529  4.1241 34.8941 27.6889  6.453
 397.0  4.1525  4.1235 34.8942 27.6891  6.450
 398.0  4.1521  4.1230 34.8942 27.6891  6.451
 399.0  4.1517  4.1226 34.8941 27.6890  6.455
 400.0  4.1516  4.1224 34.8941 27.6890  6.456
 401.0  4.1516  4.1223 34.8940 27.6890  6.451
 402.0  4.1512  4.1218 34.8940 27.6890  6.448
 403.0  4.1500  4.1206 34.8940 27.6892  6.450
 404.0  4.1494  4.1199 34.8941 27.6893  6.454
 405.0  4.1494  4.1198 34.8940 27.6893  6.457
 406.0  4.1492  4.1196 34.8941 27.6894  6.456
 407.0  4.1489  4.1192 34.8942 27.6895  6.455
 408.0  4.1483  4.1186 34.8942 27.6896  6.456
 409.0  4.1475  4.1177 34.8941 27.6896  6.457
 410.0  4.1453  4.1154 34.8940 27.6897  6.461
 411.0  4.1420  4.1120 34.8938 27.6899  6.461
 412.0  4.1410  4.1109 34.8943 27.6905  6.459
 413.0  4.1428  4.1127 34.8951 27.6909  6.459
 414.0  4.1444  4.1142 34.8955 27.6910  6.461
 415.0  4.1443  4.1140 34.8957 27.6912  6.462
 416.0  4.1422  4.1118 34.8958 27.6915  6.461
 417.0  4.1408  4.1103 34.8958 27.6917  6.456
 418.0  4.1368  4.1063 34.8951 27.6916  6.453
 419.0  4.1285  4.0979 34.8942 27.6917  6.457
 420.0  4.1240  4.0934 34.8940 27.6921  6.457
 421.0  4.1224  4.0918 34.8939 27.6922  6.459
 422.0  4.1187  4.0879 34.8935 27.6922  6.469
 423.0  4.1151  4.0843 34.8931 27.6923  6.472
 424.0  4.1128  4.0819 34.8928 27.6924  6.472
 425.0  4.1111  4.0801 34.8926 27.6924  6.475
 426.0  4.1096  4.0786 34.8925 27.6924  6.477
 427.0  4.1088  4.0777 34.8925 27.6925  6.478
 428.0  4.1075  4.0764 34.8923 27.6925  6.484
 429.0  4.1049  4.0736 34.8920 27.6926  6.490
 430.0  4.1033  4.0720 34.8919 27.6927  6.493
 431.0  4.1036  4.0722 34.8921 27.6928  6.495
 432.0  4.1039  4.0725 34.8923 27.6929  6.495
 433.0  4.1036  4.0720 34.8923 27.6930  6.496
 434.0  4.1023  4.0707 34.8923 27.6931  6.496
 435.0  4.0985  4.0669 34.8918 27.6931  6.494
 436.0  4.0936  4.0619 34.8911 27.6931  6.492
 437.0  4.0898  4.0580 34.8906 27.6931  6.490
 438.0  4.0847  4.0529 34.8901 27.6933  6.495
 439.0  4.0800  4.0481 34.8898 27.6935  6.506
 440.0  4.0778  4.0458 34.8895 27.6935  6.515
 441.0  4.0774  4.0453 34.8896 27.6936  6.523
 442.0  4.0805  4.0484 34.8905 27.6940  6.530
 443.0  4.0847  4.0524 34.8915 27.6944  6.533
 444.0  4.0853  4.0530 34.8916 27.6944  6.530
 445.0  4.0836  4.0512 34.8918 27.6948  6.521
 446.0  4.0827  4.0502 34.8921 27.6951  6.511
 447.0  4.0828  4.0503 34.8923 27.6952  6.507
 448.0  4.0826  4.0500 34.8923 27.6953  6.505
 449.0  4.0822  4.0495 34.8924 27.6954  6.505
 450.0  4.0810  4.0483 34.8925 27.6957  6.505
 451.0  4.0790  4.0461 34.8925 27.6959  6.503
 452.0  4.0771  4.0442 34.8925 27.6960  6.502
 453.0  4.0749  4.0419 34.8924 27.6963  6.504
